dhp_label,dlabel,longitude,latitude,tp_int,date,source,unveg,sparse,teow,biome,uid
81877,118209,-62.2,-23.1,16.95613,2022-12-24,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81877_dhp
81877,118209,-61.8,-26.0,0.34422228,2022-12-24,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81877_d
81874,118209,-62.2,-20.0,35.19391,2022-12-24,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81874_dhp
81874,118209,-63.4,-20.2,0.61225754,2022-12-24,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81874_d
81701,118209,-60.5,-22.0,11.556996,2022-12-18,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81701_dhp
81701,118209,-60.7,-24.0,0.42283088,2022-12-18,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81701_d
81379,118209,-61.4,-30.5,13.476417,2022-12-10,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",81379_dhp
81379,118209,-59.5,-28.8,0.10257141,2022-12-10,d,0.00077160494,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",81379_d
80920,118209,-66.6,-29.3,18.884617,2022-11-30,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",80920_dhp
80920,118209,-63.0,-29.8,0.045056906,2022-11-30,d,0.0,0.0015432099,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",80920_d
80358,121729,36.7,-2.7,15.167286,2022-11-14,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",80358_dhp
80358,121729,37.3,-3.6,0.5359839,2022-11-14,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",80358_d
79473,121729,20.9,-6.7,18.159607,2022-10-30,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",79473_dhp
79473,121729,25.9,-9.3,0.21030678,2022-10-30,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",79473_d
79445,118209,-60.9,-38.6,14.17587,2022-10-25,dhp,0.027777778,0.0077160494,8,"Temperate Grasslands, Savannas & Shrublands",79445_dhp
79445,118209,-58.0,-36.1,0.21937491,2022-10-25,d,0.25771606,0.0,8,"Temperate Grasslands, Savannas & Shrublands",79445_d
77872,118355,90.9,53.3,14.574744,2022-09-26,dhp,0.10493827,0.29089507,8,"Temperate Grasslands, Savannas & Shrublands",77872_dhp
77872,118355,85.8,55.0,0.4117666,2022-09-26,d,0.013888889,0.0,8,"Temperate Grasslands, Savannas & Shrublands",77872_d
75582,109990,-100.0,29.4,12.090994,2022-08-15,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",75582_dhp
75582,109990,-99.1,30.1,0.38630152,2022-08-15,d,0.032407407,0.0,8,"Temperate Grasslands, Savannas & Shrublands",75582_d
74542,106767,31.2,1.0,17.65377,2022-07-30,dhp,0.00077160494,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",74542_dhp
74542,106767,31.8,-0.5,0.15356892,2022-07-30,d,0.12962963,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",74542_d
74383,115533,-101.2,40.0,14.836537,2022-07-25,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",74383_dhp
74383,115533,-101.6,40.8,0.36561644,2022-07-25,d,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",74383_d
73951,115122,-97.6,43.7,11.648106,2022-07-16,dhp,0.027006172,0.0,8,"Temperate Grasslands, Savannas & Shrublands",73951_dhp
73951,115122,-96.7,44.0,0.9557898,2022-07-16,d,0.00077160494,0.0,8,"Temperate Grasslands, Savannas & Shrublands",73951_d
73280,114339,74.1,49.9,14.859033,2022-07-07,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",73280_dhp
73280,114339,77.6,51.3,0.22137558,2022-07-07,d,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",73280_d
72388,106767,26.1,3.8,15.376224,2022-06-18,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",72388_dhp
72388,106767,30.3,1.2,0.27288854,2022-06-18,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",72388_d
72032,113515,29.5,39.7,15.873641,2022-06-11,dhp,0.1558642,0.023919754,12,"Mediterranean Forests, Woodlands & Scrub",72032_dhp
