latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
43.7,6.4,tp_rollingmax,0.95,0.0596493931191233,0.15,pei_90,2015-0451-FRA,FRA,Flood,2015-10-03,2015-10-04,25,40,pei_90,tp_rollingmax,2015,0.5299295774647887,0.0,51.44014084507042,30.850352112676056,0.0774647887323943,17.10211267605634,0.0,4.0
34.0,-81.0,tp_rollingmax,0.95,0.0849538749467047,0.15,pei_90,2015-0459-USA,USA,Storm,2015-10-01,2015-10-13,346,40,pei_90,tp_rollingmax,2015,0.0,72.75,0.1586345381526104,16.634538152610443,0.0,8.357429718875501,2.0993975903614457,4.0
21.1,-73.4,tp_rollingmax,0.95,0.0930836760471923,0.15,pei_90,2015-0479-BHS,BHS,Storm,2015-10-01,2015-10-04,348,40,pei_90,tp_rollingmax,2015,0.0,0.0,2.5,84.71022727272727,5.327272727272727,1.3011363636363635,6.161363636363636,4.0
30.1,-90.9,tp_rollingmax,0.95,0.0948500941763567,0.15,pei_90,2015-0488-USA,USA,Storm,2015-10-29,2015-11-03,351,40,pei_90,tp_rollingmax,2015,0.2109704641350211,7.236286919831223,63.151898734177216,5.378691983122363,0.0,12.021097046413502,12.001054852320674,4.0
3.7,43.8,tp_rollingmax,0.95,0.0691688029563401,0.15,pei_30,2015-0544-SOM,SOM,Flood,2015-03-01,2015-04-15,36,40,pei_30,tp_rollingmax,2015,0.0,0.0,70.6390243902439,3.052439024390244,25.85,0.4585365853658537,0.0,4.0
7.6,39.6,tp_rollingmax,0.95,0.0512135529384243,0.15,pei_90,2016-0101-ETH,ETH,Flood,2016-04-02,2016-04-07,41,40,pei_90,tp_rollingmax,2016,0.0,0.0,45.29390243902439,22.745121951219517,19.26219512195122,12.698780487804878,0.0,4.0
-34.5,-56.0,tp_rollingmax,0.95,0.0999188896825072,0.15,pei_90,2016-0115-URY,URY,Flood,2016-04-12,2016-05-11,42,40,pei_90,tp_rollingmax,2016,0.0,0.925,21.939,76.8,0.0,0.336,0.0,4.0
-33.4,-70.4,tp_rollingmax,0.95,0.0742655497938456,0.15,pei_90,2016-0118-CHL,CHL,Flood,2016-04-15,2016-04-18,43,40,pei_90,tp_rollingmax,2016,11.37979797979798,0.0,0.0,66.94242424242424,15.704040404040404,5.973737373737373,0.0,4.0
1.9,40.9,tp_rollingmax,0.95,0.1157566607512331,0.15,pei_90,2016-0161-KEN,KEN,Flood,2016-04-29,2016-05-02,48,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,73.50121951219512,26.49878048780488,0.0,0.0,4.0
21.8,92.1,tp_rollingmax,0.95,0.0708414519698781,0.15,pei_90,2016-0175-BGD,BGD,Storm,2016-05-21,2016-05-21,357,40,pei_90,tp_rollingmax,2016,0.0,0.4056818181818182,61.72840909090909,16.87840909090909,9.236363636363636,10.480681818181818,1.2704545454545455,4.0
14.7,10.0,tp_rollingmax,0.95,0.0796583348194396,0.15,pei_90,2016-0219-NER,NER,Flood,2016-06-20,2016-10-15,52,40,pei_90,tp_rollingmax,2016,3.114485981308411,0.0,0.2336448598130841,96.65186915887853,0.0,0.0,0.0,4.0
