latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,obs_type,has_control,elevation,elevation_diff,lc_distance,drought_index_value
18.4,-70.9,tp_rollingmax,0.95,0.1211583288098681,0.15,pei_30,2015-0375-DOM,DOM,Storm,2015-08-28,2015-08-28,340.0,40,pei_30,tp_rollingmax,2015,0.0,0.0,60.30160550458716,29.501146788990827,0.4908256880733945,9.706422018348624,0.0,event,none,185.0,0.0,0.0,-3.2097721099853516
18.4,-71.9,tp_rollingmax,0.95,0.0423867804752396,0.15,pei_30,2015-0375-HTI,HTI,Storm,2015-08-29,2015-08-30,341.0,40,pei_30,tp_rollingmax,2015,0.8876146788990825,0.0,2.5940366972477062,86.89564220183486,1.5447247706422018,8.077981651376147,0.0,event,none,1915.0,0.0,0.0,-3.4196579456329346
28.3,-82.7,tp_rollingmax,0.95,0.0781374153983847,0.15,pei_90,2015-0399-USA,USA,Flood,2015-07-24,2015-08-05,19.0,40,pei_90,tp_rollingmax,2015,0.0,49.05150214592275,0.8723175965665236,22.16845493562232,2.213519313304721,10.90450643776824,14.78969957081545,event,none,8.0,0.0,0.0,-3.331590414047241
46.3,4.9,tp_rollingmax,0.95,0.0762957613181058,0.15,pei_90,2015-0434-FRA,FRA,Storm,2015-09-16,2015-09-16,345.0,40,pei_90,tp_rollingmax,2015,0.0,7.084175084175084,65.75925925925925,22.02609427609428,0.0,3.808080808080808,1.3223905723905724,event,none,178.0,0.0,0.0,-2.4641189575195312
38.1,-2.0,tp_rollingmax,0.95,0.0660451111072366,0.15,pei_90,2015-0447-ESP,ESP,Flood,2015-09-07,2015-09-07,24.0,40,pei_90,tp_rollingmax,2015,1.753831417624521,0.0737547892720306,46.7183908045977,45.70114942528736,0.7825670498084292,4.9703065134099615,0.0,event,D_only,1176.0,0.0,0.0,-4.111761569976807
43.6,7.0,tp_rollingmax,0.95,0.0704993619211276,0.15,pei_90,2015-0451-FRA,FRA,Flood,2015-10-03,2015-10-04,25.0,40,pei_90,tp_rollingmax,2015,0.0,40.50443262411348,10.305851063829786,30.2145390070922,0.4432624113475177,18.53191489361702,0.0,event,P_only,106.0,0.0,0.0,-2.749840021133423
33.8,-81.2,tp_rollingmax,0.95,0.1404900180042511,0.15,pei_90,2015-0459-USA,USA,Storm,2015-10-01,2015-10-13,346.0,40,pei_90,tp_rollingmax,2015,0.907258064516129,0.1028225806451613,38.474798387096776,44.99193548387097,0.8598790322580645,14.663306451612904,0.0,event,P_only,122.0,0.0,0.0,-3.050572156906128
45.5,16.4,tp_rollingmax,0.95,0.0542934473675646,0.15,pei_90,2015-0465-HRV,HRV,Flood,2015-10-14,2015-10-16,26.0,40,pei_90,tp_rollingmax,2015,0.0,9.321186440677966,67.00254237288135,10.789830508474576,0.1135593220338983,12.28728813559322,0.485593220338983,event,none,97.0,0.0,0.0,-1.7377320528030396
41.2,14.5,tp_rollingmax,0.95,0.0570041227615014,0.15,pei_90,2015-0465-ITA,ITA,Flood,2015-10-14,2015-10-16,27.0,40,pei_90,tp_rollingmax,2015,2.38003663003663,5.492673992673993,66.76465201465201,14.953296703296704,0.0,10.408424908424909,0.0009157509157509,event,none,178.0,0.0,0.0,-3.090644121170044
21.5,-73.0,tp_rollingmax,0.95,0.116540673014184,0.15,pei_90,2015-0479-BHS,BHS,Storm,2015-10-01,2015-10-04,348.0,40,pei_90,tp_rollingmax,2015,0.0,0.0,0.2272727272727272,92.33068181818182,0.1647727272727272,4.560227272727273,2.7170454545454548,event,D_only,7.0,0.0,0.0,-5.074257850646973
