,dhp_label,dlabel,longitude,latitude,tp_int,date,source,unveg,sparse,teow,biome,start_date,end_date,DisNo.
35,84892,126984,38.0,-2.1,0.28469035,2023-03-21,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-03-21,2023-03-21,126984_d
36,83004,118209,-66.9,-30.0,15.534277,2023-01-29,dhp,0.054012347,0.020061728,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-29,2023-01-29,83004_dhp
37,83004,118209,-65.4,-30.1,0.9134964,2023-01-29,d,0.11419753,0.013117284,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-29,2023-01-29,118209_d
38,82955,118209,-63.5,-20.1,19.808016,2023-01-29,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-29,2023-01-29,82955_dhp
39,82955,118209,-62.6,-22.8,0.052141774,2023-01-29,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-29,2023-01-29,118209_d
40,82863,118209,-65.1,-26.0,16.1631,2023-01-28,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-28,2023-01-28,82863_dhp
41,82863,118209,-64.1,-23.7,0.17526478,2023-01-28,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2023-01-28,2023-01-28,118209_d
42,81877,118209,-62.2,-23.1,16.95613,2022-12-24,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-24,2022-12-24,81877_dhp
43,81877,118209,-61.8,-26.0,0.34422228,2022-12-24,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-24,2022-12-24,118209_d
44,81874,118209,-62.2,-20.0,35.19391,2022-12-24,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-24,2022-12-24,81874_dhp
45,81874,118209,-63.4,-20.2,0.61225754,2022-12-24,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-24,2022-12-24,118209_d
46,81701,118209,-60.5,-22.0,11.556996,2022-12-18,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-18,2022-12-18,81701_dhp
47,81701,118209,-60.7,-24.0,0.42283088,2022-12-18,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-18,2022-12-18,118209_d
48,81379,118209,-61.4,-30.5,13.476417,2022-12-10,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2022-12-10,2022-12-10,81379_dhp
49,81379,118209,-59.5,-28.8,0.10257141,2022-12-10,d,0.00077160494,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-12-10,2022-12-10,118209_d
50,80920,118209,-66.6,-29.3,18.884617,2022-11-30,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-11-30,2022-11-30,80920_dhp
51,80920,118209,-63.0,-29.8,0.045056906,2022-11-30,d,0.0,0.0015432099,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-11-30,2022-11-30,118209_d
52,80358,121729,36.7,-2.7,15.167286,2022-11-14,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-11-14,2022-11-14,80358_dhp
53,80358,121729,37.3,-3.6,0.5359839,2022-11-14,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-11-14,2022-11-14,121729_d
54,79473,121729,20.9,-6.7,18.159607,2022-10-30,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-10-30,2022-10-30,79473_dhp
55,79473,121729,25.9,-9.3,0.21030678,2022-10-30,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-10-30,2022-10-30,121729_d
56,79445,118209,-60.9,-38.6,14.17587,2022-10-25,dhp,0.027777778,0.0077160494,8,"Temperate Grasslands, Savannas & Shrublands",2022-10-25,2022-10-25,79445_dhp
57,79445,118209,-58.0,-36.1,0.21937491,2022-10-25,d,0.25771606,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2022-10-25,2022-10-25,118209_d
58,77872,118355,90.9,53.3,14.574744,2022-09-26,dhp,0.10493827,0.29089507,8,"Temperate Grasslands, Savannas & Shrublands",2022-09-26,2022-09-26,77872_dhp
